x,y,name
400.6,30.2,ocotwh
402.6,26.8,pri2co
405.9,39.5,virose
408.8,40.6,quaras
408.5,47.9,pri2co
402.6,45.8,gustsu
403.8,57.0,brosal
408.5,62.6,tri2tu
411.0,66.0,tri2tu
408.7,67.2,pri2co
405.7,82.8,alsebl
402.5,100.3,pri2co
405.8,109.7,tet2pa
410.4,110.7,alsebl
412.5,103.0,luehse
415.1,119.2,gustsu
404.3,124.0,alsebl
408.8,144.4,quaras
419.3,143.8,tri2tu
419.7,156.2,guapst
414.4,156.4,guargu
410.5,148.8,tri2tu
414.5,169.8,tab1gu
414.6,190.9,luehse
414.1,188.5,alsebl
419.3,208.0,luehse
409.2,205.5,gustsu
406.8,218.0,quaras
412.6,217.4,hirttr
412.2,216.2,poutre
400.2,218.9,quaras
405.2,224.9,guargu
409.0,222.5,tri2tu
411.2,223.4,tri2tu
403.4,244.6,sch1zo
421.2,242.6,huracr
417.7,258.8,ceibpe
400.1,261.2,guargu
418.4,266.2,tri2tu
416.8,294.8,phoeci
418.9,314.0,jac1co
414.7,303.8,guargu
411.3,311.8,tab2ar
406.7,304.3,guazul
403.0,318.7,brosal
406.9,319.7,guapst
416.1,320.5,tri2tu
404.8,331.9,hirttr
411.3,336.4,tet2pa
400.4,345.8,quaras
410.2,355.9,tab1gu
418.8,353.5,apeime
414.6,361.0,pri2co
415.0,386.2,phoeci
404.8,385.2,quaras
405.5,389.9,alsebl
405.7,389.4,tri2tu
404.5,405.5,anacex
416.3,410.0,swars1
413.6,417.5,chr2ca
407.2,410.0,quaras
401.7,418.2,gustsu
401.0,423.1,swars1
414.1,438.3,sch1zo
413.3,442.9,quaras
406.5,444.2,tripcu
401.4,459.8,virosu
410.7,464.5,apeime
410.2,465.8,simaam
411.2,474.6,hirttr
410.5,481.5,alsebl
402.4,487.8,guargu
417.7,486.1,guargu
389.8,493.4,poutst
385.2,492.9,tri2tu
381.1,496.5,apeime
397.4,482.0,cordbi
399.5,466.1,tet2pa
386.6,461.9,cecrin
385.0,464.7,sponra
396.3,458.1,jac1co
399.6,441.0,gustsu
393.0,442.8,virose
384.5,449.7,tet2pa
382.4,433.1,sponra
389.8,436.0,lindla
388.4,439.5,simaam
392.2,428.5,virose
389.6,425.8,alsebl
396.5,428.3,coccco
399.9,416.1,termam
387.9,404.1,ficuc2
390.1,409.0,alsebl
394.6,410.3,hyeral
384.1,382.5,tri2tu
394.4,378.7,gustsu
388.6,373.1,tratas
380.3,379.7,poutre
389.8,359.0,tet2pa
393.5,354.2,tet2pa
393.4,348.9,hirttr
395.2,346.5,quaras
387.0,346.1,guapst
385.1,346.3,heisco
392.0,330.6,tri2tu
398.3,326.4,swars1
395.8,315.7,tri2tu
394.1,310.8,poutre
382.0,302.4,gustsu
388.5,302.3,poutst
391.8,303.8,gustsu
392.3,301.1,poutst
399.8,303.7,lacmpa
380.2,290.3,tri2tu
385.3,287.1,tri2tu
389.3,290.9,tri2tu
387.5,280.8,chr2ca
390.6,280.8,tri2tu
384.9,269.1,sponra
383.7,250.8,zuelgu
383.4,252.7,anacex
389.9,259.8,tri2tu
397.4,203.6,hyeral
398.4,198.8,poutre
389.9,191.2,alsebl
386.6,181.5,ast2gr
385.8,183.1,tri2tu
384.1,187.0,alsebl
383.8,189.1,quaras
389.2,166.9,ceibpe
388.9,165.5,pri2co
386.3,171.2,tri2tu
381.2,162.0,tri2tu
399.0,158.2,tri2tu
394.9,150.3,tri2tu
398.5,144.3,ast2gr
398.9,141.5,eugene
391.9,144.6,tet2pa
382.1,148.7,tri2tu
390.4,144.6,pla1pi
394.0,135.8,alsebl
398.3,128.3,heisco
395.7,122.2,alsebl
386.7,117.5,alchco
390.0,110.9,apeime
392.6,117.3,gustsu
381.5,101.7,alsebl
391.5,103.0,simaam
393.9,88.0,tet2pa
394.4,84.0,pri2co
397.3,81.8,brosal
385.4,94.7,alsebl
383.8,74.2,guapst
391.1,73.4,tri2tu
394.8,70.5,pri2co
398.3,72.8,quaras
390.9,63.1,quaras
394.8,55.5,virose
388.3,49.7,alsebl
392.2,44.7,alsebl
385.5,41.5,gustsu
393.6,38.7,apeime
393.3,27.0,tet2pa
385.6,19.2,pri2co
397.1,16.1,huracr
395.4,14.9,hirttr
391.2,11.9,tratas
393.8,9.2,poular
391.5,6.3,tri2tu
367.4,3.7,cordbi
377.5,10.8,tab2ar
369.7,19.7,gustsu
376.6,29.3,pri2co
369.3,43.8,gustsu
372.6,41.3,quaras
376.0,60.9,tri2tu
369.0,63.1,poutre
364.3,72.5,pri2co
375.4,71.5,tachve
378.9,66.3,pri2co
373.2,81.7,poutre
362.1,80.3,poular
373.2,98.3,luehse
375.9,90.3,alsebl
365.9,110.7,tet2pa
375.1,105.4,heisco
372.5,119.1,jac1co
367.4,119.1,jac1co
364.6,120.4,tet2pa
376.0,121.2,pri2co
369.8,125.3,loncla
363.2,153.4,alsebl
368.5,159.6,quaras
378.1,163.2,heisco
376.5,166.3,pri2co
361.1,161.3,tet2pa
363.2,170.2,tri2tu
374.9,177.5,heisco
374.0,190.2,tri2tu
360.3,210.8,tet2pa
364.2,217.3,tri2tu
363.1,230.5,hyeral
364.9,230.2,tri2tu
372.9,223.1,tri2tu
372.8,225.2,tet2pa
363.5,234.0,pla2el
366.9,256.5,poutre
360.7,277.4,sch1zo
374.5,269.6,tet4jo
366.4,286.9,apeime
368.1,300.4,pla1pi
372.5,309.5,heisco
368.8,313.9,hirttr
361.7,315.9,alsebl
376.1,325.1,apeime
376.4,329.5,cordbi
371.9,342.0,tri2tu
366.0,357.3,apeime
362.6,358.1,poutst
368.2,358.9,tri2tu
373.9,362.8,pla1pi
367.4,365.0,tri2tu
360.1,365.2,tri2tu
374.1,368.0,alsebl
373.8,385.1,chr2ca
374.1,395.9,jac1co
362.5,395.4,gustsu
425.9,392.0,protte
361.4,418.5,chr2ar
360.9,427.0,protte
366.2,432.5,protte
373.3,432.8,tri2tu
372.1,436.5,jac1co
367.4,442.8,cecrin
376.5,448.1,heisco
375.7,453.1,cupala
370.1,459.6,zantbe
366.0,455.4,guazul
363.6,454.3,casear
364.9,448.9,virose
372.7,483.1,gustsu
366.8,498.4,cordbi
344.3,485.8,hirttr
349.8,498.4,guetfo
354.6,496.0,tri2tu
357.9,474.0,diptpa
346.0,479.5,ceibpe
340.8,479.6,luehse
346.2,465.8,licahy
350.1,449.8,poular
355.5,449.4,tab2ar
359.0,451.8,tet2pa
356.4,434.8,tri2tu
344.4,432.5,tri2pa
341.5,423.3,tri2tu
349.0,418.0,poutre
347.5,395.1,tri2tu
346.9,368.1,beilpe
352.3,369.5,tri2tu
359.9,377.7,guapst
346.8,363.3,guatdu
346.3,349.6,tab2ar
350.9,323.5,gustsu
340.6,326.8,apeime
354.28,309.84,lindla
353.2,306.0,jac1co
353.7,304.4,jac1co
345.7,302.2,cordal
349.8,301.2,poutre
354.6,294.9,lindla
341.2,285.9,tri2tu
349.0,269.2,sapiau
355.0,272.4,sponmo
349.4,280.3,poutre
355.6,243.7,sch1zo
340.2,236.8,cordbi
358.6,220.5,hirttr
350.4,220.6,pri2co
356.0,235.5,hirttr
357.7,239.8,tri2tu
359.5,200.6,tet2pa
344.5,216.0,dendar
343.9,208.0,laetpr
341.0,205.5,tab2ar
345.2,186.0,cupasy
350.2,184.7,tab1gu
350.6,182.0,pri2co
359.1,178.2,pri2co
357.1,170.9,tet2pa
356.1,164.7,heisco
356.1,165.1,alsebl
342.9,164.9,eugene
349.1,159.4,poutre
348.4,141.9,tab2ar
344.8,118.8,tab2ar
350.3,110.2,pri2co
356.5,105.9,pri2co
346.3,101.2,tri2tu
347.5,99.3,guazul
351.4,98.3,termob
359.2,93.6,tet2pa
349.5,91.5,quaras
342.8,89.8,simaam
341.5,83.8,tri2tu
357.9,85.1,tet2pa
349.0,81.0,pri2co
345.8,64.0,jac1co
351.2,61.5,tri2tu
356.3,68.8,poular
350.4,74.5,huracr
353.5,56.0,tri2tu
352.8,54.5,tri2tu
341.6,55.7,brosal
340.8,54.5,quaras
340.3,44.7,pri2co
351.4,43.9,cordal
345.9,40.1,cordbi
345.8,30.9,ocotwh
349.2,24.9,alsebl
346.2,19.5,cordbi
343.9,17.1,gustsu
347.1,14.9,cordbi
349.7,15.0,virose
351.4,8.9,virosu
348.0,1.6,quaras
330.8,1.3,guargu
337.5,14.7,gustsu
339.1,12.1,guargu
333.2,33.1,ocotwh
338.8,58.4,gustsu
333.4,54.0,virosu
324.5,56.6,quaras
324.3,64.9,alchco
335.4,64.0,alsebl
339.5,68.9,tab2ar
321.1,77.2,alsebl
336.9,83.1,guatdu
338.8,82.1,gustsu
337.4,85.8,pla1pi
335.9,90.1,swars1
321.9,95.1,quaras
329.1,97.7,jac1co
325.3,102.0,lindla
337.6,130.0,alsebl
333.6,140.1,pri2co
326.0,141.9,heisco
322.5,147.5,heisco
336.4,156.6,heisco
321.9,171.0,loncla
320.6,176.5,pri2co
327.7,181.4,gustsu
326.3,188.1,brosal
323.2,197.0,pri2co
334.5,198.5,pri2co
320.1,204.5,gustsu
324.9,220.9,tri2tu
331.4,218.8,tri2tu
326.4,236.4,jac1co
322.1,238.1,tab2ar
335.1,244.3,tab2ar
324.1,249.2,poutre
327.6,259.2,pri2co
323.2,270.9,gustsu
326.8,278.1,anacex
332.1,277.5,swars1
327.9,299.7,poutre
328.5,302.1,hyeral
339.7,300.6,cordbi
336.7,315.6,luehse
329.6,319.5,hirttr
330.6,322.9,casear
325.1,325.8,alsebl
333.4,370.5,diptpa
337.0,380.7,lafopu
334.8,388.5,hirttr
339.9,428.4,quaras
330.3,442.0,alsebl
339.7,442.4,turpoc
339.2,448.0,guargu
328.5,451.2,virosu
326.2,463.7,ocotwh
340.6,467.5,coccco
332.0,470.8,pla2el
326.4,487.8,quaras
322.5,492.4,quaras
320.7,499.8,apeime
335.4,494.6,maytsc
338.5,495.3,hirttr
309.6,499.7,tri2tu
310.6,494.5,quaras
309.2,492.0,tri2tu
301.4,474.3,tri2pa
304.6,452.3,quaras
303.8,414.5,cordbi
307.0,394.7,poutst
305.2,391.3,apeime
305.2,382.2,andiin
318.9,368.7,laetpr
312.6,350.4,alsebl
303.7,355.2,tet2pa
303.5,350.2,jac1co
302.8,324.8,lacmpa
309.4,316.0,annosp
305.4,305.4,apeime
303.0,306.2,alchco
311.7,289.4,tripcu
301.2,267.9,tri2tu
300.8,255.9,lacmpa
309.4,235.8,pri2co
314.0,234.6,vochfe
309.8,226.2,tet2pa
304.6,213.4,tet2pa
300.9,201.3,pri2co
317.6,208.1,tri2tu
312.2,198.5,heisco
314.7,192.4,pri2co
313.8,188.7,tri2tu
316.1,183.0,poutst
306.6,191.5,tri2tu
304.6,192.2,tri2tu
301.7,180.4,pri2co
301.3,173.1,tratas
302.9,171.6,guargu
314.7,169.1,tri2tu
314.4,167.5,quaras
317.3,165.9,pri2co
308.9,162.9,aspicr
304.2,153.6,quaras
318.3,145.8,luehse
301.1,126.4,virose
318.3,118.8,alchco
319.5,107.0,jac1co
316.4,90.5,alsebl
313.9,94.4,tab2ar
315.9,83.1,virosu
308.9,81.6,alsebl
303.7,86.5,quaras
306.9,79.0,beilpe
312.5,70.3,quaras
315.5,73.0,alsebl
315.3,67.8,tab2ar
306.4,45.6,pri2co
317.4,35.6,beilpe
304.2,38.5,swars2
299.6,16.7,luehse
299.8,8.8,tet2pa
302.9,0.5,quaras
297.0,8.7,hirttr
293.4,16.1,loncla
296.5,31.2,alsebl
289.7,29.6,pri2co
293.0,37.9,ceibpe
288.8,43.7,pri2co
292.5,45.4,quaras
299.5,50.4,quaras
286.0,49.1,pri2co
285.2,55.5,tet2pa
285.0,63.4,pri2co
279.9,70.4,quaras
284.5,71.7,heisco
284.1,77.4,pri2co
296.8,61.3,tab2ar
297.6,62.0,cordbi
297.5,69.2,pri2co
292.2,84.4,pri2co
293.2,80.5,tri2tu
284.4,91.8,quaras
281.7,91.8,dendar
287.4,96.5,poutre
291.5,97.6,guapst
294.2,98.1,gustsu
286.6,110.2,pri2co
282.5,124.3,ormoma
290.7,126.2,alsebl
296.5,138.5,pri2co
288.1,134.6,gustsu
284.8,150.7,eugene
286.3,158.8,pri2co
293.0,159.2,dendar
292.5,152.3,pri2co
296.2,147.5,pri2co
293.8,164.8,pri2co
291.6,186.1,tri2tu
288.3,183.7,tet2pa
287.6,183.5,heisco
286.2,186.2,pri2co
282.4,195.5,tab2ar
294.1,198.8,tet2pa
292.2,206.6,tab2ar
282.3,206.2,tet2pa
281.5,204.1,pla1pi
283.3,213.9,tri2tu
284.0,226.1,pri2co
290.4,243.6,swars1
286.7,246.2,tri2tu
283.7,249.8,sponmo
280.5,258.6,sponmo
289.6,255.3,sponmo
295.4,248.8,tab2ar
