x,y,boh,name
2.2,50.8,23,alsebl
2.2,57.6,41,des2pa
2.2,74.7,68,eugega
2.2,121.9,19,hybapr
2.2,147.7,27,tri2tu
2.2,179.3,25,ouralu
2.2,248.7,40,eugega
2.2,287,14,tet2pa
2.2,359.8,165,randar
2.2,374.6,167,alsebl
2.2,378.9,11,psycho
2.2,390.5,26,herrpu
2.23,255.12,10,tab2ar
2.24,33.75,13,protco
2.25,313.91,12,des2pa
2.28,145.15,10,cassel
2.3,52.3,25,ingaum
2.3,59,101,guarsp
2.3,77.4,33,faraoc
2.3,85.9,-1,nectci
2.3,89.7,46,faraoc
2.3,134.7,29,des2pa
2.3,153.5,55,alibed
2.3,157.7,103,oenoma
2.3,239.2,25,taline
2.3,284.7,37,alsebl
2.3,386.9,91,heisac
2.3,396.2,24,cassel
2.3,408.4,71,faraoc
2.32,73.9,12,tet2pa
2.34,351.67,10,tachve
2.35,297.56,21,chr2ar
2.36,49.21,16,tet2pa
2.37,311.1,-1,micoar
2.38,253.64,15,tet2pa
2.4,10.8,20,guargu
2.4,52.1,-1,hirttr
2.4,139.6,35,des2pa
2.4,147.6,122,apeime
2.4,189.1,15,alsebl
2.4,242.1,16,hirttr
2.4,246.3,22,protpa
2.4,275.3,69,gar2in
2.4,297,23,gar2in
2.4,325.8,90,faraoc
2.4,329.2,56,faraoc
2.4,342.7,-1,oenoma
2.4,369.6,39,swars2
2.4,370.2,48,protte
2.4,396.1,-1,alsebl
2.4,423.9,-1,mourmy
2.44,249.83,15,alsebl
2.44,350.73,10,tachve
2.44,420.28,10,gar2ma
2.45,304.04,12,gar2in
2.46,194,26,ingath
2.46,379.77,12,faraoc
2.5,7.7,24,beilpe
2.5,21.3,42,pourbi
2.5,48.2,23,stylst
2.5,56.3,42,chr2ar
2.5,119.3,210,protte
2.5,122.7,34,tri2tu
2.5,125.9,12,cordla
2.5,154.3,54,tri2tu
2.5,183.6,20,hirttr
2.5,189.1,40,guatdu
2.5,193.4,86,crotbi
2.5,213.8,-1,micoaf
2.5,225.5,11,cassel
2.5,250.4,36,hybapr
2.5,263.2,18,des2pa
2.5,269.2,61,coccco
2.5,270.3,-1,alsebl
2.5,303,36,gar2in
2.5,324.1,75,tet2pa
2.5,356.5,36,protte
2.5,381.7,228,pri2co
2.5,398.4,30,faraoc
2.5,412,74,cupasy
2.5,449.8,112,protco
2.5,486.3,22,des2pa
2.5,494.7,16,mourmy
2.52,272.47,13,protte
2.6,35.7,27,hybapr
2.6,49.8,99,cordla
2.6,149.2,25,tri2tu
2.6,164.1,27,ouralu
2.6,209.8,87,casear
2.6,301.6,115,faraoc
2.6,327.6,29,gar2in
2.6,327.7,103,alsebl
2.6,357.1,33,eugega
2.6,387,51,faraoc
2.6,434.2,103,oenoma
2.6,476.8,26,rinosy
2.62,64.5,14,alsebl
2.63,455.29,11,faraoc
2.64,152.64,10,hybapr
2.66,199.91,67,simaam
2.67,55.48,-1,sponra
2.69,297.69,-1,tab2ar
2.7,1.9,88,oenoma
2.7,73.7,67,faraoc
2.7,93.2,21,hassfl
2.7,120.5,-1,hybapr
2.7,150.9,20,laciag
2.7,182.6,49,beilpe
2.7,190.9,34,guatdu
2.7,217.4,233,loncla
2.7,251.1,22,protpa
2.7,267,15,mourmy
2.7,284.5,24,gar2in
2.7,378.4,20,des2pa
2.7,396.8,153,virose
2.7,472,22,rinosy
2.71,65.15,12,alsebl
2.71,193.37,11,hameax
