x,y,name
405.8,109.7,tet2pa
410.4,110.7,alsebl
412.5,103.0,luehse
419.4,102.9,jac1co
415.1,119.2,gustsu
418.4,132.1,brosal
411.3,133.8,tri2tu
404.3,124.0,alsebl
405.8,139.7,gustsu
408.8,144.4,quaras
419.3,143.8,tri2tu
419.7,156.2,guapst
414.4,156.4,guargu
410.5,148.8,tri2tu
408.1,165.1,randar
414.5,169.8,tab1gu
407.9,174.1,tri2tu
407.6,180.4,tri2tu
414.6,190.9,luehse
414.1,188.5,alsebl
419.3,208.0,luehse
409.2,205.5,gustsu
406.8,218.0,quaras
412.6,217.4,hirttr
412.2,216.2,poutre
400.2,218.9,quaras
405.2,224.9,guargu
409.0,222.5,tri2tu
411.2,223.4,tri2tu
415.3,223.7,tri2tu
403.4,244.6,sch1zo
421.2,242.6,huracr
417.7,258.8,ceibpe
400.1,261.2,guargu
407.4,279.3,poutre
411.3,277.7,posola
416.3,278.2,protte
418.4,266.2,tri2tu
401.3,285.0,coccco
404.6,288.8,protte
409.1,294.4,ast1st
416.8,294.8,phoeci
418.9,314.0,jac1co
414.7,303.8,guargu
411.3,311.8,tab2ar
408.3,313.1,chr2ar
406.7,304.3,guazul
403.0,318.7,brosal
406.9,319.7,guapst
416.1,320.5,tri2tu
404.2,326.5,tri2tu
404.8,331.9,hirttr
411.3,336.4,tet2pa
410.2,345.7,alsebl
400.4,345.8,quaras
405.4,348.7,guargu
410.2,355.9,tab1gu
418.8,353.5,apeime
414.6,361.0,pri2co
417.5,367.9,tri2tu
409.5,366.4,tri2tu
405.7,366.1,tri2tu
403.3,374.3,tri2tu
406.4,375.0,tri2tu
415.0,386.2,phoeci
411.4,387.0,micoar
404.8,385.2,quaras
403.0,384.9,lindla
403.3,388.5,tri2tu
405.5,389.9,alsebl
405.7,389.4,tri2tu
403.0,395.6,tri2tu
404.5,405.5,anacex
416.7,404.5,tri2tu
416.3,410.0,swars1
413.6,417.5,chr2ca
407.2,410.0,quaras
401.7,418.2,gustsu
401.0,423.1,swars1
400.1,435.2,hirttr
414.1,438.3,sch1zo
413.3,442.9,quaras
406.5,444.2,tripcu
402.2,447.3,apeime
409.5,456.1,zantbe
407.3,457.2,quaras
401.4,459.8,virosu
410.7,464.5,apeime
410.2,465.8,simaam
411.2,474.6,hirttr
415.0,482.1,virose
413.8,483.0,tri2tu
410.5,481.5,alsebl
