name,x,y
AGLABR,509.52,139.53
AGLABR,509.77,106.14
AGLABR,507.19,117.02
AGLABR,509.72,119.13
AGLABR,501.11,52.64
AGLABR,505.98,32.75
AGLABR,502.87,26.78
AGLABR,506.68,29.97
AGLABR,505.57,31.57
AGLABR,486.77,368.81
AGLABR,483.71,362.24
AGLABR,498.11,349.05
AGLABR,482.75,358.22
AGLABR,495.69,350.6
AGLABR,487.98,302.81
AGLABR,486.15,301.78
AGLABR,481.54,315.59
AGLABR,498.39,302.81
AGLABR,480.13,282.92
AGLABR,482.54,288.51
AGLABR,489.85,264.47
AGLABR,494.85,261.98
AGLABR,484.9,267.01
AGLABR,480.81,265.54
AGLABR,499.32,276.53
AGLABR,491.65,269.37
AGLABR,486.67,247.36
AGLABR,488.64,243.23
AGLABR,486.12,249.68
AGLABR,486.77,246.07
AGLABR,488.5,248.71
AGLABR,491.26,250.39
AGLABR,490.12,253.73
AGLABR,487.24,252.78
AGLABR,489.45,231.74
AGLABR,487.32,230.83
AGLABR,496.49,237.35
AGLABR,492.06,233.97
AGLABR,491.19,220.54
AGLABR,491.18,234.36
AGLABR,484.0,234.93
AGLABR,497.16,205.76
AGLABR,484.29,208.05
AGLABR,489.36,217.18
AGLABR,493.85,185.44
AGLABR,483.41,195.39
AGLABR,484.78,153.26
AGLABR,497.74,153.73
AGLABR,486.66,121.04
AGLABR,482.77,129.41
AGLABR,498.65,113.75
AGLABR,494.13,87.2
AGLABR,496.32,89.6
AGLABR,485.68,65.88
AGLABR,480.51,64.11
AGLABR,486.33,50.66
AGLABR,497.63,44.42
AGLABR,481.93,44.26
AGLABR,485.58,33.56
AGLABR,489.34,23.05
AGLABR,485.62,22.24
AGLABR,492.48,31.12
AGLABR,492.75,30.93
AGLABR,489.0,18.56
AGLABR,488.6,17.0
AGLABR,485.85,10.67
AGLABR,485.32,11.1
AGLABR,496.16,11.8
AGLABR,482.57,11.28
AGLABR,473.94,491.24
AGLABR,463.89,450.06
AGLABR,471.38,421.12
AGLABR,469.11,403.04
AGLABR,470.37,381.5
AGLABR,467.37,383.46
AGLABR,476.63,352.41
AGLABR,473.12,321.66
AGLABR,468.97,325.22
AGLABR,479.72,326.49
AGLABR,469.03,331.87
AGLABR,478.55,323.35
AGLABR,460.17,309.28
AGLABR,476.31,310.66
AGLABR,476.56,317.46
AGLABR,461.31,300.81
AGLABR,465.63,307.01
AGLABR,465.58,307.52
AGLABR,463.08,302.44
AGLABR,466.79,309.98
AGLABR,475.39,298.88
AGLABR,466.79,284.32
AGLABR,466.17,282.82
AGLABR,465.07,291.33
AGLABR,462.61,300.12
AGLABR,475.22,299.31
AGLABR,470.98,293.0
AGLABR,478.38,298.0
AGLABR,463.49,273.0
AGLABR,465.35,276.11
AGLABR,476.33,275.94
AGLABR,479.69,268.08
AGLABR,474.86,265.66
AGLABR,476.01,274.89
AGLABR,467.9,273.23
AGLABR,465.75,271.13
AGLABR,465.3,271.08
AGLABR,464.91,273.66
AGLABR,465.86,275.73
AGLABR,461.48,253.14
AGLABR,476.59,259.67
AGLABR,477.24,242.03
AGLABR,476.97,239.26
AGLABR,476.92,240.14
AGLABR,475.32,239.16
AGLABR,474.9,237.26
AGLABR,478.49,236.57
AGLABR,479.8,236.7
AGLABR,479.72,238.7
AGLABR,466.73,224.64
AGLABR,460.74,208.56
AGLABR,473.46,208.08
AGLABR,476.51,206.19
AGLABR,463.29,199.26
AGLABR,474.25,184.02
AGLABR,476.12,191.26
AGLABR,473.02,162.7
AGLABR,478.35,162.47
AGLABR,471.55,176.01
AGLABR,479.08,173.57
AGLABR,476.75,153.77
AGLABR,478.6,133.72
AGLABR,469.05,117.82
AGLABR,469.16,117.4
AGLABR,469.77,92.2
AGLABR,466.52,41.06
AGLABR,478.95,47.82
AGLABR,469.67,21.26
AGLABR,477.55,26.63
AGLABR,467.84,14.58
AGLABR,450.83,484.61
AGLABR,443.44,472.52
AGLABR,447.13,454.67
AGLABR,440.41,437.01
AGLABR,448.04,439.79
AGLABR,457.74,360.99
AGLABR,449.58,346.92
AGLABR,443.95,353.9
AGLABR,458.64,322.85
AGLABR,448.21,329.98
AGLABR,445.45,323.31
AGLABR,454.6,303.86
AGLABR,455.68,314.63
AGLABR,453.87,312.01
AGLABR,445.83,313.05
AGLABR,454.39,301.95
AGLABR,443.44,304.64
AGLABR,449.76,317.16
AGLABR,451.22,317.13
AGLABR,449.34,298.13
AGLABR,451.68,281.31
AGLABR,457.89,261.38
AGLABR,455.19,268.41
AGLABR,456.64,263.83
AGLABR,457.35,275.48
AGLABR,452.21,265.79
AGLABR,454.52,261.72
AGLABR,456.08,245.59
AGLABR,455.85,257.46
AGLABR,453.8,234.75
AGLABR,458.87,231.62
AGLABR,458.88,228.06
AGLABR,444.29,207.23
AGLABR,442.92,205.74
AGLABR,445.78,216.82
AGLABR,445.6,164.75
AGLABR,452.34,162.21
AGLABR,453.76,137.51
AGLABR,453.2,131.55
AGLABR,458.11,95.42
AGLABR,453.92,26.36
AGLABR,440.98,33.44
AGLABR,448.87,2.25
AGLABR,454.93,17.04
