species,count
Hernandia ovigera,5
Elaeocarpus ledermannii,5
Pterygota horsfieldii,5
Ficus caulocarpa,5
Elaeocarpus womersleyi,5
Abarema precatorius,5
Cyclophyllum longiflorum,5
Cynometra fortuna-tironis,5
Buchanania arborescens,5
Dillenia castaneifolia,5
Sterculia conwentzii,5
Strychnos minor,5
Salacia erythrocarpa,5
Omphalea papuana,5
Mussaenda ferruginea,4
Aglaia parviflora,4
Harpullia crustacea,4
Canarium vitiense,4
Pseuduvaria beccarii,4
Dioscorea alata,4
Trichosanthes schlechteri,4
Aglaia integrifolia,4
Cordia dichotoma,4
Microglossa pyrifolia,4
Alocasia brancifolia,4
Grewia glabra,4
Hanslia ormocarpoides,4
Kopsia flavida,4
Medinilla crassinervia,3
Cryptocarya viridiflora,3
Astronidium montanum,3
Oxymitra grandiflora,3
Heritiera littoralis,3
Helicia oreadum,3
Mallotus floribundus,3
Elaeocarpus dolichostylus,3
Rhus taitensis,3
Alstonia macrophylla,3
Maesa edulis,2
Gmelina palawensis,2
Gomphandra australiana,2
Austromyrtus floribunda,2
Ficus odoardi,2
Horsfieldia macrocoma,2
Intsia palembanica,2
Clematis javana,2
Hugonia jenkinsii,2
Toechima erythrocarpum,2
Syzygium iteophyllum,2
Alangium villosum,2
Macaranga schleinitziana,2
Saurauia conferta,2
Steganthera ilicifolia,2
Ficus benjamina,2
Psychotria chrysantha,2
Macrococculus pomiferus,2
Kingiodendron micranthum,2
Macaranga ducis,2
Pandanus angiensis,2
Elaeocarpus sarcanthus,2
Terminalia kaernbachii,2
Aglaia lepidopetala,2
Carica papaya,1
Dioscorea pentaphylla,1
Papuechites aambe,1
Pandorea pandorana,1
Opocunonia nymanii,1
Tecomanthe dendrophila,1
Mallotus chromocarpus,1
Trichosanthes ovigera,1
Syzygium richardsonianum,1
Cyrtandra erectiloba,1
Decalobanthus peltatus,1
Cissus hypoglauca,1
Holochlamys beccarii,1
Coelospermum salomoniense,1
Myristica lancifolia,1
Macaranga clavata,1
Bischofia javanica,1
Schefferomitra subaequalis,1
Anodendron oblongifolium,1
Timonius pulposus,1
Glochidion granulare,1
Gliricidia sepium,1
Myristica markgraviana,1
Calopogonium mucunoides,1
Finlaysonia obovata,1
Piper macropiper,1
Piper interruptum,1
Phrynium macrocephalum,1
Trichadenia philippinensis,1
Pothos hellwigii,1
Polyscias ledermannii,1
Polyporandra scandens,1
Eupomatia laurina,1
Diplazium esculentum,1
Diospyros areolifolia,1
Rottboellia exaltata,1
Pueraria triloba,1
Artocarpus fretissi,1
Areca catechu,1
Adenanthera pavonina,1
Ziziphus djamuensis,1
