name,x,y
ACTINI,709.45,368.44
ACTINI,712.47,360.77
ACTINI,708.45,363.21
ACTINI,717.27,353.91
ACTINI,711.5,351.61
ACTINI,712.75,330.81
ACTINI,713.91,287.0
ACTINI,706.66,292.95
ACTINI,703.48,294.65
ACTINI,703.85,298.06
ACTINI,703.39,299.36
ACTINI,715.02,283.07
ACTINI,714.94,260.59
ACTINI,704.03,62.33
ACTINI,698.28,461.01
ACTINI,689.47,452.11
ACTINI,689.27,444.49
ACTINI,685.33,459.31
ACTINI,688.39,441.18
ACTINI,687.98,445.13
ACTINI,684.92,437.66
ACTINI,681.48,429.54
ACTINI,683.57,435.42
ACTINI,691.68,383.6
ACTINI,684.15,363.72
ACTINI,681.09,361.47
ACTINI,683.78,349.63
ACTINI,699.45,347.32
ACTINI,683.02,299.68
ACTINI,680.25,292.25
ACTINI,694.64,268.99
ACTINI,692.78,269.59
ACTINI,684.61,179.28
ACTINI,681.38,108.45
ACTINI,696.47,64.65
ACTINI,688.72,47.43
ACTINI,684.27,48.69
ACTINI,686.73,50.88
ACTINI,696.83,58.99
ACTINI,683.41,41.74
ACTINI,696.72,46.76
ACTINI,684.43,45.16
ACTINI,690.61,29.19
ACTINI,674.47,450.98
ACTINI,677.9,444.69
ACTINI,669.81,444.6
ACTINI,664.23,448.37
ACTINI,678.44,451.91
ACTINI,669.26,426.67
ACTINI,676.77,429.61
ACTINI,671.54,423.0
ACTINI,670.07,421.8
ACTINI,668.57,354.98
ACTINI,673.5,358.33
ACTINI,670.77,354.48
ACTINI,679.58,358.89
ACTINI,663.57,325.85
ACTINI,672.82,335.64
ACTINI,661.97,319.72
ACTINI,670.22,316.35
ACTINI,671.1,294.92
ACTINI,676.15,284.17
ACTINI,662.79,272.03
ACTINI,672.11,174.41
ACTINI,669.75,146.19
ACTINI,663.66,138.3
ACTINI,674.63,58.41
ACTINI,674.12,57.77
ACTINI,665.77,52.85
ACTINI,668.13,54.44
ACTINI,666.72,55.12
ACTINI,669.07,55.73
ACTINI,669.19,28.42
ACTINI,663.64,37.14
ACTINI,679.69,2.66
ACTINI,666.54,17.87
ACTINI,651.74,443.72
ACTINI,657.85,444.36
ACTINI,659.72,423.06
ACTINI,643.11,413.75
ACTINI,655.01,366.94
ACTINI,655.42,346.36
ACTINI,658.32,319.13
ACTINI,658.96,310.21
ACTINI,656.44,229.16
ACTINI,644.16,211.71
ACTINI,642.32,200.27
ACTINI,649.5,158.68
ACTINI,658.85,41.03
ACTINI,643.96,42.07
ACTINI,647.23,41.06
ACTINI,643.95,21.51
ACTINI,642.59,23.8
ACTINI,641.25,33.02
ACTINI,648.25,38.43
ACTINI,638.43,480.83
ACTINI,624.51,439.9
ACTINI,625.38,430.51
ACTINI,630.67,434.3
ACTINI,633.78,434.14
ACTINI,637.96,380.81
ACTINI,623.06,391.62
ACTINI,638.82,372.62
ACTINI,634.81,373.94
ACTINI,635.97,325.49
ACTINI,625.4,301.62
ACTINI,638.24,302.78
ACTINI,633.92,205.23
ACTINI,635.16,206.77
ACTINI,626.66,202.27
ACTINI,622.36,200.37
ACTINI,630.49,211.84
ACTINI,635.22,218.2
ACTINI,623.97,207.31
ACTINI,628.0,193.24
ACTINI,621.58,195.74
ACTINI,623.63,187.32
ACTINI,636.71,150.38
ACTINI,629.99,52.29
ACTINI,624.88,51.15
ACTINI,623.72,41.54
ACTINI,635.53,38.4
ACTINI,621.78,30.27
ACTINI,639.58,22.23
ACTINI,622.46,11.38
ACTINI,611.77,462.45
ACTINI,603.21,446.3
ACTINI,600.6,440.01
ACTINI,613.96,387.12
ACTINI,608.16,385.42
ACTINI,608.95,373.88
ACTINI,601.5,353.34
ACTINI,619.62,301.52
ACTINI,606.08,307.09
ACTINI,617.88,298.82
ACTINI,614.31,274.81
ACTINI,618.08,266.86
ACTINI,612.97,249.68
ACTINI,613.11,251.15
ACTINI,611.51,249.87
ACTINI,608.8,223.12
ACTINI,610.48,227.34
ACTINI,602.53,229.92
ACTINI,600.37,222.14
ACTINI,611.38,222.07
ACTINI,603.23,219.67
ACTINI,615.62,213.2
ACTINI,602.03,212.38
ACTINI,603.0,202.81
ACTINI,613.13,203.36
ACTINI,616.76,216.67
ACTINI,610.65,193.58
ACTINI,603.92,198.48
ACTINI,601.7,191.28
ACTINI,611.76,179.05
ACTINI,600.53,120.65
ACTINI,606.25,120.02
ACTINI,619.36,74.11
ACTINI,607.56,63.02
ACTINI,602.81,44.95
ACTINI,602.9,34.5
ACTINI,614.32,34.66
ACTINI,607.93,39.35
ACTINI,601.53,30.21
ACTINI,601.68,29.42
ACTINI,602.7,28.92
ACTINI,603.02,38.98
ACTINI,589.51,401.54
ACTINI,599.31,366.05
ACTINI,587.29,336.95
ACTINI,584.64,301.72
ACTINI,582.95,316.67
ACTINI,586.61,289.51
ACTINI,586.55,283.25
ACTINI,596.55,251.36
ACTINI,584.16,224.59
ACTINI,596.18,221.88
ACTINI,599.62,219.47
ACTINI,584.9,206.69
ACTINI,588.61,205.91
ACTINI,592.69,194.64
ACTINI,594.62,177.17
ACTINI,595.87,154.61
ACTINI,598.4,133.66
ACTINI,583.43,85.71
ACTINI,587.9,41.22
ACTINI,594.0,34.66
ACTINI,594.83,33.32
ACTINI,598.86,29.16
ACTINI,586.68,20.46
ACTINI,581.69,21.63
ACTINI,580.08,23.11
ACTINI,594.16,21.72
ACTINI,593.78,37.73
ACTINI,580.76,16.02
ACTINI,577.91,492.67
ACTINI,561.01,490.07
ACTINI,565.94,429.11
ACTINI,561.5,410.71
ACTINI,564.66,338.44
ACTINI,564.04,310.82
ACTINI,565.87,278.7
ACTINI,576.53,234.59
ACTINI,561.39,214.39
ACTINI,561.98,203.55
ACTINI,563.38,193.05
ACTINI,575.49,170.03
ACTINI,562.25,169.61
ACTINI,568.8,176.15
ACTINI,562.33,151.38
ACTINI,564.41,151.66
ACTINI,564.17,121.27
ACTINI,563.24,130.22
ACTINI,567.35,89.16
ACTINI,564.01,98.94
ACTINI,571.97,28.59
ACTINI,560.67,37.39
ACTINI,578.41,20.11
ACTINI,578.45,7.96
ACTINI,541.29,442.01
ACTINI,551.9,428.84
ACTINI,548.62,430.27
ACTINI,553.93,429.73
ACTINI,545.76,420.2
ACTINI,542.0,391.79
ACTINI,554.39,393.52
ACTINI,547.36,369.8
ACTINI,546.08,374.86
ACTINI,550.62,370.05
ACTINI,554.35,313.2
ACTINI,540.35,304.03
ACTINI,553.97,306.19
ACTINI,544.08,298.4
ACTINI,555.99,285.14
ACTINI,549.33,286.6
ACTINI,543.33,205.02
ACTINI,549.82,202.31
ACTINI,552.88,183.62
ACTINI,555.61,141.95
ACTINI,551.18,99.78
ACTINI,546.52,88.39
ACTINI,548.4,94.11
ACTINI,555.26,83.43
ACTINI,556.72,51.98
ACTINI,557.67,33.84
ACTINI,545.15,37.79
ACTINI,538.51,470.18
ACTINI,536.0,451.87
ACTINI,520.14,456.03
ACTINI,521.43,458.64
ACTINI,528.88,441.36
ACTINI,523.54,434.54
ACTINI,537.24,435.68
ACTINI,537.6,435.97
ACTINI,529.62,429.62
ACTINI,536.29,385.84
ACTINI,520.46,212.48
ACTINI,520.62,161.99
